shortID,siteID,basin,state,siteName,siteUse,destinationCode,destinationFlag,dataSource,usbrID,usgsID,cdssID,wyseoID,utdwrID,nmoseID,historicalRecord,decLat,decLong,dest_decLat,dest_decLong,notes,startDate,endDate,no_fill_years
1296,div_1296_irrigation,grb,wy,grb_wy_irwin_ditch,irrigation,20,0,WYSEO,,,,1037,,,y,42.940071,-110.347601,,,,,,
1297,div_1297_irrigation,grb,wy,grb_wy_jenkins_ditch,irrigation,19,0,WYSEO,,,,1038,,,y,43.030094,-110.007904,,,,,,
1298,div_1298_irrigation,grb,wy,grb_wy_jorgensen_ditch,irrigation,19,0,WYSEO,,,,1039,,,y,42.673896,-109.481126,,,,,,
1299,div_1299_irrigation,grb,wy,grb_wy_jrg_ditch,irrigation,27,0,WYSEO,,,,0403JRG,,,y,41.08229,-110.408871,,,,,,
1300,div_1300_irrigation,grb,wy,grb_wy_kidman_wall_ditch,irrigation,27,0,WYSEO,,,,0403KWAL,,,y,41.260913,-110.354525,,,,,,
1301,div_1301_irrigation,grb,wy,grb_wy_king_no_2_ditch,irrigation,19,0,WYSEO,,,,1040,,,y,42.73432,-109.541845,,,,,,
1302,div_1302_irrigation,grb,wy,grb_wy_labarge_no_2_ditch,irrigation,20,0,WYSEO,,,,1041,,,y,42.212924,-110.213546,,,,,,
1303,div_1303_irrigation,grb,wy,grb_wy_lamb_supply_canal,irrigation,27,0,WYSEO,,,,0415LAMB,,,y,41.172053,-110.48709,,,,,,
1304,div_1304_irrigation,grb,wy,grb_wy_lawrence_ditch,irrigation,20,0,WYSEO,,,,1042,,,y,42.781158,-110.16422,,,,,,
1305,div_1305_irrigation,grb,wy,grb_wy_lead_ditch,irrigation,20,0,WYSEO,,,,1043,,,y,42.948905,-110.366824,,,,,,
1306,div_1306_irrigation,grb,wy,grb_wy_lee_ditch,irrigation,19,0,WYSEO,,,,1044,,,y,42.883877,-109.864684,,,,,,
1307,div_1307_irrigation,grb,wy,grb_wy_lena_ditch,irrigation,20,0,WYSEO,,,,1045,,,y,43.057641,-110.165454,,,,,,
1308,div_1308_irrigation,grb,wy,grb_wy_luckpenny_ditch,irrigation,16,0,WYSEO,,,,1046,,,y,43.165916,-109.987542,,,,,,
1309,div_1309_irrigation,grb,wy,grb_wy_midmermac_ditch,irrigation,20,0,WYSEO,,,,0410SP01,,,y,42.521407,-110.1047,,,,,,
1310,div_1310_irrigation,grb,wy,grb_wy_milich_ditch,irrigation,27,0,WYSEO,,,,0403MILI,,,y,41.054497,-110.398461,,,,,,
1311,div_1311_irrigation,grb,wy,grb_wy_moore_and_bagley_ditch,irrigation,27,0,WYSEO,,,,0409MBAG,,,y,41.636031,-110.052329,,,,,,
1312,div_1312_irrigation,grb,wy,grb_wy_munn_ditch,irrigation,20,0,WYSEO,,,,0410CC42,,,y,42.782401,-110.425932,,,,,,
1313,div_1313_irrigation,grb,wy,grb_wy_musselman_ditch,irrigation,20,0,WYSEO,,,,1047,,,y,42.639457,-110.2653,,,,,,
1314,div_1314_irrigation,grb,wy,grb_wy_noble_no_11_ditch,irrigation,20,0,WYSEO,,,,1048,,,y,42.519288,-110.216255,,,,,,
1315,div_1315_irrigation,grb,wy,grb_wy_north_piney_canal,irrigation,20,0,WYSEO,,,,0410NP41,,,y,42.65645,-110.341273,,,,,,
1316,div_1316_irrigation,grb,wy,grb_wy_nutria_ditch,irrigation,27,0,WYSEO,,,,0409NUTR,,,y,41.76218,-110.167572,,,,,,
1317,div_1317_irrigation,grb,wy,grb_wy_olson_murdock_hanna_ditch,irrigation,20,0,WYSEO,,,,1049,,,y,42.590287,-109.950069,,,,,,
1318,div_1318_irrigation,grb,wy,grb_wy_osterhout_edwards_ditch,irrigation,20,0,WYSEO,,,,1050,,,y,42.607907,-110.200295,,,,,,
1319,div_1319_irrigation,grb,wy,grb_wy_overland_ditch,irrigation,20,0,WYSEO,,,,1051,,,y,42.673976,-109.972355,,,,,,
1320,div_1320_irrigation,grb,wy,grb_wy_overland_ditch_green_river,irrigation,19,0,WYSEO,,,,1052,,,y,42.668291,-109.436158,,,,,,
1321,div_1321_irrigation,grb,wy,grb_wy_pape_ditch,irrigation,20,0,WYSEO,,,,1053,,,y,42.956734,-110.123856,,,,,,
1322,div_1322_irrigation,grb,wy,grb_wy_paradise_canal,irrigation,19,0,WYSEO,,,,0407NF11,,,y,42.772744,-109.777899,,,,,,
1323,div_1323_irrigation,grb,wy,grb_wy_payne_gooden_ditch,irrigation,20,0,WYSEO,,,,1054,,,y,43.046721,-110.221075,,,,,,
1324,div_1324_irrigation,grb,wy,grb_wy_peoples_canal,irrigation,28,0,WYSEO,,,,1055,,,y,41.042497,-109.736402,,,,,,
1325,div_1325_irrigation,grb,wy,grb_wy_pine_grove_ditch,irrigation,27,0,WYSEO,,,,0415PINE,,,y,41.16702,-110.497838,,,,,,
1326,div_1326_irrigation,grb,wy,grb_wy_pole_creek_no_2_ditch,irrigation,19,0,WYSEO,,,,1056,,,y,42.863601,-109.744211,,,,,,
