,Q_mmd,Q_cfs,gage,prcp,srad,swe,tmax,tmin,vp,eto,vpd
2020-03-28,,,WFKCROCO,0.0,685.6739976506744,197.58833205807164,-1.0770242264526526,-13.97392385476188,204.385376699903,1.7489273660735687,0.1951522458383369
2020-03-29,,,WFKCROCO,0.0,715.8624998099251,197.58833205807164,0.9757508592828334,-13.365193765963651,191.3799432721517,1.5489273468103373,0.1951937683519607
2020-03-30,,,WFKCROCO,0.0,649.6862701099224,197.58833205807164,3.0562353120955628,-8.21840128882121,285.5781719590553,2.2260207883214456,0.2850276852870894
2020-03-31,,,WFKCROCO,0.0,728.6443307210004,197.58833205807164,6.943840803654548,-8.502840874351843,250.23000784481263,2.8493425246341,0.3921176447897221
2020-04-01,,,WFKCROCO,0.0,577.0701598065122,196.27776370989,6.553332192345061,-2.877148795540357,429.2636667640976,2.9714187660019293,0.3969273293100839
2020-04-02,,,WFKCROCO,0.0,414.1779276389152,194.8884646722602,3.2693667993413538,-2.6947578088634976,492.6334789658913,2.449757835361784,0.2721176405472738
2020-04-03,,,WFKCROCO,0.0,468.0007712816284,194.40725120887623,1.7991072563770314,-4.85417990800006,413.5990944093487,2.3493425246341,0.2600449811216044
2020-04-04,,,WFKCROCO,0.0,541.5988224861118,193.79814984806677,3.309927287728729,-4.549311376195465,401.02376772342666,2.471833991509408,0.272159163122771
2020-04-05,,,WFKCROCO,0.0,539.1533688660722,192.5729486221261,4.646525968069848,-3.080968780913567,440.8737759811242,2.8493425246341,0.3498685136282732
2020-04-06,,,WFKCROCO,0.0,595.154000527141,191.30175342493817,5.84312802879043,-2.971941171632918,419.41781916106856,3.249342619011559,0.4498685076678087
2020-04-07,,,WFKCROCO,0.0,638.9526853145612,190.19672665711505,6.5578477602104,-3.370408310527208,389.37530123700736,3.4489273853368,0.5022526074652027
2020-04-08,,,WFKCROCO,0.0,704.6968907973345,189.0231825356665,8.923539717387163,-3.2076263102693128,361.5776816292205,3.2268512383464296,0.5625121251728296
2020-04-09,,,WFKCROCO,0.0,629.3110780498148,187.0217129083653,8.506636729289914,-1.2336608866094303,446.4085386177247,3.3493425246341,0.5070103886424463
2020-04-10,,,WFKCROCO,0.0,659.835275257995,186.41256768777708,5.945785457782679,-4.546944633899675,351.927856466432,2.8493425246341,0.3723771726074515
2020-04-11,,,WFKCROCO,0.0,705.6239788332612,186.02606145733364,6.982266449845786,-5.076169544272768,320.4172441317548,3.248927394494053,0.4625121015784649
2020-04-12,,,WFKCROCO,0.0,620.8267880977643,186.02606145733364,3.422733605361727,-6.0284984260281895,333.9823239125182,2.649342476950385,0.309826999521173
2020-04-13,,,WFKCROCO,0.0,716.7991561942447,186.02606145733364,-0.9962698981243228,-13.293155783682955,188.8469107446373,1.6718339215925406,0.1599100385260829
2020-04-14,,,WFKCROCO,0.0,770.3281970806187,186.02606145733364,-1.8056816650921912,-17.18817674709439,135.5255711882172,1.8493425246341,0.187401387915273
